company_id	company_name	total_revenue	fashion_style	company_regions	company_operated_retail_stores	founding_year	country_of_origin	years	revenue
9	Bottega Veneta	1258483333	MINIMALISM	Europe, North America, Asia-Pacific, Middle East,Latin America.	25.58333333	1966	Renzo Zengiaro, Italy.	company_revenue_2021	1502800000
9	Bottega Veneta	1258483333	MINIMALISM	Europe, North America, Asia-Pacific, Middle East,Latin America.	25.58333333	1966	Renzo Zengiaro, Italy.	company_revenue_2022	1740000000
9	Bottega Veneta	1258483333	MINIMALISM	Europe, North America, Asia-Pacific, Middle East,Latin America.	25.58333333	1966	Renzo Zengiaro, Italy.	company_revenue_2023	1645000000
10	Prada	3958333333	MINIMALISM	Europe, North America, South america, Asia-Pacific, Middle East, Africa	50.75	1913	Milan, Italy.	company_revenue_2012	3340000000
10	Prada	3958333333	MINIMALISM	Europe, North America, South america, Asia-Pacific, Middle East, Africa	50.75	1913	Milan, Italy.	company_revenue_2013	4470000000
10	Prada	3958333333	MINIMALISM	Europe, North America, South america, Asia-Pacific, Middle East, Africa	50.75	1913	Milan, Italy.	company_revenue_2014	4850000000
10	Prada	3958333333	MINIMALISM	Europe, North America, South america, Asia-Pacific, Middle East, Africa	50.75	1913	Milan, Italy.	company_revenue_2015	4010000000
10	Prada	3958333333	MINIMALISM	Europe, North America, South america, Asia-Pacific, Middle East, Africa	50.75	1913	Milan, Italy.	company_revenue_2016	3840000000
10	Prada	3958333333	MINIMALISM	Europe, North America, South america, Asia-Pacific, Middle East, Africa	50.75	1913	Milan, Italy.	company_revenue_2017	3430000000
10	Prada	3958333333	MINIMALISM	Europe, North America, South america, Asia-Pacific, Middle East, Africa	50.75	1913	Milan, Italy.	company_revenue_2018	3590000000
10	Prada	3958333333	MINIMALISM	Europe, North America, South america, Asia-Pacific, Middle East, Africa	50.75	1913	Milan, Italy.	company_revenue_2019	3620000000
10	Prada	3958333333	MINIMALISM	Europe, North America, South america, Asia-Pacific, Middle East, Africa	50.75	1913	Milan, Italy.	company_revenue_2020	2960000000
10	Prada	3958333333	MINIMALISM	Europe, North America, South america, Asia-Pacific, Middle East, Africa	50.75	1913	Milan, Italy.	company_revenue_2021	3820000000
10	Prada	3958333333	MINIMALISM	Europe, North America, South america, Asia-Pacific, Middle East, Africa	50.75	1913	Milan, Italy.	company_revenue_2022	4500000000
10	Prada	3958333333	MINIMALISM	Europe, North America, South america, Asia-Pacific, Middle East, Africa	50.75	1913	Milan, Italy.	company_revenue_2023	5070000000
11	Nike	37000000000	ATHLEISURE	North America, Europe, MiddleEast, Africa, Greater China, Asia-Pacific, Latin America.	1032	1964	Oregon, USA.	company_revenue_2012	24550000000
11	Nike	37000000000	ATHLEISURE	North America, Europe, MiddleEast, Africa, Greater China, Asia-Pacific, Latin America.	86	1964	Oregon, USA.	company_revenue_2013	26280000000
11	Nike	37000000000	ATHLEISURE	North America, Europe, MiddleEast, Africa, Greater China, Asia-Pacific, Latin America.	86	1964	Oregon, USA.	company_revenue_2014	29750000000
11	Nike	37000000000	ATHLEISURE	North America, Europe, MiddleEast, Africa, Greater China, Asia-Pacific, Latin America.	86	1964	Oregon, USA.	company_revenue_2015	31330000000
